judul,imdb_rating,metascore,votes
The Enemy Within,7.1,,5224
Them That Follow,5.3,57        ,2078
When Hope Calls,7.8,,311
Rattlesnake,4.6,,6419
Infidel,6.5,,17
Don't Let Go,6.1,49        ,3628
Bull,7.0,,1506
Virus,8.0,,3158
The Haunting of Sharon Tate,2.8,,2983
Bruh,6.7,,28
The Hot Zone,7.3,,5506
Crown Vic,6.4,47        ,2259
Furie,6.3,,3210
Selling Sunset,5.5,,1090
The Great War,3.5,,585
Mad About You,7.7,,297
Kengan Ashura,8.0,,2179
Sunrise in Heaven,6.6,,1138
We Die Young,5.3,,2747
The Influence,4.5,,2311
Burn,5.6,50        ,2629
Resident Evil 2,9.2,,3339
For Sama,8.5,,6120
Chambers,6.5,,6442
Summer Night,4.6,49        ,624
How to Train Your Dragon: Homecoming,7.3,,1237
Threat Level Midnight: The Movie,9.7,,533
Changeland,5.7,42        ,1251
Bliss,5.8,53        ,2660
A Miracle,7.3,,1180
The Naked Director,7.9,,3454
The Trial of Christine Keeler,6.8,,973
The Victim,7.7,,2899
I Think You Should Leave with Tim Robinson,7.6,,4536
Fyre,7.2,,33267
Curse of the Nun,2.8,,699
Moffie,7.2,,397
Birbal Trilogy,8.0,,524
Scooby-Doo and Guess Who?,7.3,,462
The Mustang,6.9,,8068
Extreme Job,7.1,,4458
This Way Up,7.7,,1777
Women of the Night,6.0,,372
Almost Family,6.4,,1536
Cosmos,5.6,,1574
Abe,6.2,,451
Prey,4.7,,1607
Exit,8.2,,3369
Wayne,8.4,,6172
Heirs of the Night,7.5,,125
Eye for an Eye,6.6,,4170
Game Over,7.1,,5117
Clementine,6.2,55        ,56
The Sky Is Pink,7.5,55        ,5476
The Great Hack,7.0,,16717
The Parts You Lose,5.5,47        ,1305
Capital in the Twenty-First Century,7.2,,296
Turn Up Charlie,7.1,,5922
Liberté,4.8,50        ,464
After Midnight,5.3,55        ,1220
The Friend,7.4,44        ,240
Guilt,7.3,,1034
The Collini Case,7.2,,3473
Sword of Trust,6.2,,1582
I Spit on Your Grave: Deja Vu,2.3,,1665
Mr. Iglesias,7.1,,3890
Songland,7.7,,466
Traitors,6.6,,2009
Best in Sex: 2019 AVN Awards,4.6,,80
Intrigo: Dear Agnes,4.8,,96
The Set Up,4.4,,68
El juego de las llaves,6.7,,594
Radioflash,6.0,,2254
Soundtrack,6.7,,1414
Greatest Events of WWII in Colour,8.7,,3343
Military Wives,6.4,59        ,1269
DC Super Hero Girls,7.0,,425
Boomerang,4.9,,275
Conversations with a Killer: The Ted Bundy Tapes,7.8,,20076
Blood Machines,6.5,,184
Coroner,6.7,,1587
Hercai,7.1,,1285
The Battle of Jangsari,6.0,,629
Into the Night,6.7,,9
Yeh Saali Aashiqui,7.9,,1746
Clemency,6.4,,1595
Elisa & Marcela,6.5,,2675
A Little Late with Lilly Singh,1.7,,4332
